Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Gia_trieu,Tuổi xe
SYM,Attila,2009,10000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,3.2,16
Piaggio,Zip,2019,8000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,21.0,6
Honda,SH,2020,52000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,70.0,5
Honda,Wave,2024,500,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,10.8,1
Yamaha,R,2019,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,35.5,6
Peugeot,Django,2021,1363,Đã sử dụng,Tay ga,50 - 100 cc,Nước khác,49.0,4
Honda,Click,2015,25000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,64.999999,10
Honda,Lead,2012,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,11.5,13
Honda,Dòng khác,2022,120000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,23.0,3
Honda,@,2018,1,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,12.8,7
SYM,Attila,2004,40000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,4.3,21
Honda,Air Blade,2020,80000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,45.0,5
Honda,Vision,2019,46000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,22.5,6
Honda,Air Blade,2009,51000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,10.8,16
Honda,Future,2021,15000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,25.8,4
Honda,SH,2017,999,Đã sử dụng,Tay ga,Trên 175 cc,Nước khác,140.0,8
Honda,Air Blade,2017,56688,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,12.0,8
Yamaha,Mio,2022,4900,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,25.99,3
Honda,Dòng khác,2020,2,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,120.0,5
Honda,Vario,2019,27000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,32.0,6
Honda,MSX 125,2023,3263,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,36.0,2
Honda,Air Blade,2024,1000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,40.0,1
Honda,Wave,2011,23015,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,6.8,14
Honda,Lead,2010,92000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,8.5,15
Royal Enfield,Interceptor 650,2019,11500,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,120.0,6
Honda,Air Blade,2010,9999,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,12.9,15
Hãng khác,Dòng khác,2024,8000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,17.0,1
Honda,SH,2019,35000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,72.0,6
Honda,Air Blade,2023,11000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,39.0,2
Yamaha,Janus,2024,2400,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,26.0,1
Honda,Cub,1998,12000,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,9.2,27
Yamaha,Sirius,2010,40000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,7.3,15
Honda,Wave,2023,5062,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,16.555555,2
SYM,Attila,2007,10000,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,3.0,18
Hãng khác,Dòng khác,2022,30,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Việt Nam,28.0,3
Yamaha,Exciter,2018,26264,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,27.0,7
Honda,Air Blade,2010,12779,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,22.9,15
Honda,Wave,2018,25,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,9.2,7
Honda,Cub,1997,12000,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,11.0,28
Honda,SH,2005,49000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,35.5,20
Piaggio,Vespa,2011,11000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.0,14
Honda,Wave,2007,45000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,8.0,18
Honda,Lead,2020,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,27.5,5
Honda,Lead,2023,15000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,39.0,2
Honda,SH,2025,100000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,18.0,0
Honda,Lead,2020,180000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,29.5,5
Honda,Future,2021,21000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,26.5,4
Honda,Wave,2022,40000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,17.0,3
Hãng khác,Dòng khác,2024,800,Đã sử dụng,Tay ga,Dưới 50 cc,Đài Loan,16.0,1
Honda,Wave,2017,25,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,8.6,8
Honda,SH,2020,49530,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,75.0,5
Honda,Wave,2006,666666,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,9.5,19
Yamaha,Exciter,2023,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,4.0,2
SYM,Elizabeth,2013,100000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,2.5,12
Honda,Wave,2025,30,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,17.0,0
Piaggio,GTS,2009,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,26.0,16
Honda,Wave,2005,15381,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,5.5,20
Honda,Wave,2018,39000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,13.4,7
Suzuki,Sport / Xipo,1998,15000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,15.0,27
Honda,Winner X,2019,44000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,16.5,6
Honda,SH,2007,71000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,45.0,18
Piaggio,Liberty,2016,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,17.5,9
Honda,PCX,2011,25000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,15.8,14
SYM,Venus,2014,32668,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,4.9,11
Hãng khác,Dòng khác,2001,50000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,11.1,24
Honda,SH,2023,10605,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,74.5,2
Honda,Sonic,2020,47744,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,19.999999,5
Honda,PCX,2010,100000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,16.5,15
Honda,Dòng khác,2005,7000,Đã sử dụng,Tay ga,Dưới 50 cc,Nhật Bản,10.5,20
Honda,Air Blade,2011,23,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,2.6,14
Yamaha,Exciter,2022,280000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,33.0,3
Honda,Dream,2000,12000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,13.5,25
Hãng khác,Dòng khác,2001,150000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,12.0,24
Honda,Cub,1998,12000,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,5.3,27
Honda,Wave,2008,62000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,9.0,17
Honda,Lead,2010,40000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,8.5,15
Honda,Lead,2010,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,8.5,15
Honda,Cub,1997,12000,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,9.7,28
Honda,SH,2018,29000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,38.0,7
Honda,Future,2010,60000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,20.5,15
Yamaha,Exciter,2015,65,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,17.0,10
Suzuki,Dòng khác,1998,500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Mỹ,9.5,27
Suzuki,Impulse,2016,36688,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,7.3,9
KTM,Duke 200,2022,229000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,37.0,3
Honda,Vision,2022,12000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,31.0,3
Honda,Dòng khác,2012,8850,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,50.0,13
Honda,Lead,2019,53000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,24.0,6
KTM,Duke 200,2022,23000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,35.0,3
Honda,Air Blade,2017,82288,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,12.0,8
Yamaha,Exciter,2015,28500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,18.0,10
Yamaha,Nouvo,2012,9435,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,6.5,13
Honda,SH,2012,90000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,35.0,13
Piaggio,Vespa,2019,12000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,55.0,6
Honda,Vario,2021,10000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,20.0,4
Honda,Air Blade,2012,120000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,12.0,13
Honda,Wave,2013,500000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,7.9,12
Yamaha,Nouvo,2013,267890,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,9.0,12
Hãng khác,Dòng khác,2019,2216,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,29.0,6
Honda,Air Blade,2012,10000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,11.5,13
Honda,Lead,2012,49,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,11.0,13
Hãng khác,Dòng khác,2019,2216,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,29.0,6
Honda,Wave,2002,100000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,14.5,23
Piaggio,Vespa,2018,16000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,48.5,7
Honda,Vision,2017,55000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,17.8,8
Honda,Air Blade,2011,21706,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,9.0,14
Honda,SH,2014,12345,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,39.5,11
Honda,Winner X,2024,6000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,33.3,1
Hãng khác,Dòng khác,2019,2216,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,29.0,6
Honda,Winner X,2022,45000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,23.5,3
Piaggio,Sprint,2022,27000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,52.0,3
Honda,SH,2008,70000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,40.8,17
Hãng khác,Dòng khác,2010,3000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Hàn Quốc,7.0,15
Honda,Future,2001,59559,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,19.0,24
Honda,SH,2011,20000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,90.0,14
Honda,SH Mode,2015,28000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,30.0,10
Honda,Spacy,2001,85000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,85.0,24
Yamaha,Nvx,2022,22000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,43.0,3
Honda,Vision,2021,39000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,26.0,4
Piaggio,Vespa,2022,15000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,74.0,3
Yamaha,Exciter,2010,54000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,46.0,15
Honda,Blade,2017,23000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,12.5,8
Honda,SH,2019,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,80.0,6
Honda,Future,2000,12000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,35.0,25
Honda,Dòng khác,1998,70000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,80.0,27
Honda,Win,2022,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,25.0,3
Honda,Lead,2016,100,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,6.0,9
Piaggio,Vespa,2014,36000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,20.0,11
Yamaha,R,2020,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,43.0,5
Honda,Blade,2012,55431,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,10.0,13
Yamaha,Mio,2016,1,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,7.0,9
Honda,SH,2009,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,95.0,16
Honda,SH,2010,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,12.345678,15
Piaggio,Vespa,2018,7523,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,47.0,7
Honda,Air Blade,2016,53983,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,25.0,9
Hãng khác,Dòng khác,2018,30000,Đã sử dụng,Tay ga,Dưới 50 cc,Việt Nam,3.9,7
Piaggio,Vespa S125,2019,7283,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,49.0,6
Piaggio,Vespa,2012,36000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,11.8,13
Suzuki,GD,2022,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,13.0,3
Honda,Win,2000,1000,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Đang cập nhật,7.5,25
Yamaha,Exciter,2013,40000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,21.0,12
Honda,Lead,2012,39,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,11.6,13
Suzuki,Viva,2022,480000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,25.0,3
Honda,Vario,2023,22000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,48.0,2
Yamaha,Janus,2018,35000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,16.6,7
Yamaha,Nozza,2013,37000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,12.5,12
Honda,Air Blade,2010,31000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,15.6,15
Yamaha,Luvias,2013,33333,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.5,12
Honda,Winner X,2020,17000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,20.0,5
SYM,Dòng khác,2019,7500,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,10.5,6
Yamaha,Exciter,2020,36000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,25.555555,5
Honda,Vision,2017,29,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,20.6,8
Honda,Dòng khác,2007,10000,Đã sử dụng,Tay ga,Dưới 50 cc,Nhật Bản,12.0,18
Honda,Chaly,2010,50000,Đã sử dụng,Tay ga,50 - 100 cc,Nhật Bản,24.0,15
Honda,Lead,2012,31000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,11.9,13
Honda,Wave,2016,80000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,11.0,9
Honda,SH,2021,601,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,86.0,4
Honda,Air Blade,2010,36000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,15.3,15
Honda,Vision,2019,12000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,24.0,6
Honda,Air Blade,2012,36000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,12.6,13
Honda,Air Blade,2016,857000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,21.5,9
Honda,Air Blade,2023,4,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,8.0,2
Piaggio,GTS,2007,36668,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,8.9,18
Honda,Vision,2023,15000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,31.5,2
Honda,Lead,2009,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,9.9,16
Suzuki,Dòng khác,1999,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,12.0,26
Yamaha,Exciter,2010,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,14.0,15
Honda,SH,2022,11000,Đã sử dụng,Tay ga,Trên 175 cc,Thái Lan,120.0,3
Honda,SH,2022,700,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,87.0,3
Honda,Air Blade,2012,19000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,8.3,13
Kawasaki,Dòng khác,2009,123,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,3.8,16
Honda,Air Blade,2009,32000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,27.5,16
Yamaha,Sirius,2021,24700,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,11.2,4
Hãng khác,Dòng khác,2024,1200,Đã sử dụng,Tay ga,Dưới 50 cc,Việt Nam,13.0,1
Piaggio,Vespa,2014,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,22.0,11
Honda,Scoopy,2019,12000,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,9.5,6
Honda,Future,2001,16000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,50.5,24
Yamaha,Exciter,2020,35000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,25.555555,5
Honda,Wave,2008,100,Đã sử dụng,Xe số,100 - 175 cc,Hàn Quốc,5.5,17
Honda,CBR,2011,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,22.0,14
Honda,Lead,2010,39,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,10.0,15
Honda,Air Blade,2010,12345,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,10.7,15
Honda,CBR,2011,14000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,28.0,14
Honda,ADV 160,2021,1000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,89.0,4
Honda,SH,2021,1000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,88.0,4
Honda,Click,2006,38000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,9.0,19
Honda,Cub,1997,0,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,8.0,28
Suzuki,GN,2010,0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,12.0,15
Piaggio,LX,2009,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,10.3,16
Honda,Air Blade,2016,39,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,23.9,9
Yamaha,Luvias,2010,100000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,7.0,15
Honda,Winner X,2022,13000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,28.6,3
Yamaha,Exciter,2020,36000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,25.5,5
Honda,SH,2005,10000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,24.2,20
SYM,Shark,2010,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,1.8,15
Honda,Dòng khác,2015,12345,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,11.0,10
Honda,Lead,2016,28000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,19.6,9
Piaggio,Primavera,2014,400000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,23.0,11
Honda,Cub,2024,10060,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,89.0,1
Honda,SH,2019,37000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,67.0,6
Honda,Wave,2017,23,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,8.8,8
Honda,Cub,1996,56000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,40.0,29
Honda,Wave,2024,12000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,18.0,1
Honda,SH,2016,66000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,52.0,9
Honda,Wave,2008,50000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,10.5,17
Honda,Air Blade,2013,28000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,18.6,12
Honda,Vision,2012,100000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,11.5,13
Honda,Cub,1996,30000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,45.0,29
Honda,Vision,2019,26,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,24.6,6
Piaggio,Vespa,2012,60000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,7.5,13
SYM,Wolf,2011,99999,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đài Loan,12.0,14
Honda,Air Blade,2007,0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,7.5,18
Piaggio,LX,2011,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,13.0,14
SYM,Venus,2013,36688,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,5.2,12
Suzuki,GZ,2013,50000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,29.0,12
Honda,Wave,2006,20000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,11.0,19
Honda,Future,2007,75000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,32.0,18
Piaggio,Liberty,2013,500000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,5.5,12
Hãng khác,Dòng khác,2017,40000,Đã sử dụng,Xe số,Dưới 50 cc,Trung Quốc,8.5,8
Honda,Vision,2012,39000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,13.8,13
Piaggio,Liberty,2014,40000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,6.5,11
Piaggio,LX,2009,40000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,10.5,16
SYM,Elizabeth,2012,39990,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,4.5,13
Honda,Air Blade,2010,22000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,10.8,15
Honda,Dream,2005,58000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,18.5,20
Honda,Wave,2014,10,Đã sử dụng,Xe số,Không biết rõ,Nước khác,6.9,11
Victory,Dòng khác,2024,1000,Đã sử dụng,Tay ga,Dưới 50 cc,Việt Nam,14.0,1
Honda,Chaly,2024,1000,Đã sử dụng,Xe số,Dưới 50 cc,Thái Lan,12.5,1
